Province,DG4 ,DG7 ,PAY-BY-PLATE ,TOTAL METER INSTALLS,TOTAL METER INSTALLS  %,SKIDATA ,POWERFLEX ,TOTAL POF INSTALLS,TOTAL POF INSTALLS %,TOTAL INSTALLS (POF & METERS),,,,,,,,,
BC,98,71,172,341,5.02%,44,0,44,2.79%,385,,,,,,,,,
AB,93,3,44,140,2.06%,13,0,13,0.82%,153,,,,,,,,,
SK,205,0,0,205,3.02%,0,0,0,0.00%,205,,,,,,,,,
MB,601,0,1,602,8.86%,58,0,58,3.68%,660,,,,,,,,,
ON,4740,444,183,5367,78.96%,1057,232,1289,81.79%,6656,,,,,,,,,
QC,43,27,2,72,1.06%,170,0,170,10.79%,242,,,,,,,,,
NL,0,0,0,0,0.00%,0,0,0,0.00%,0,,,,,,,,,
NS,0,0,0,0,0.00%,0,0,0,0.00%,0,,,,,,,,,
NB,70,0,0,70,1.03%,2,0,2,0.13%,72,,,,,,,,,
PEI,0,0,0,0,0.00%,0,0,0,0.00%,0,,,,,,,,,
TERRITORIES,0,0,0,0,0.00%,0,0,0,0.00%,0,,,,,,,,,
Total,5850,545,402,6797,100.00%,1344,232,1576,100.00%,8373,,,,,,,,,